FOG	HOG	Parent	rgm	sai	spo	ncr	tre	ang	lst	yli	arx	nfu	aru	pta	ppa	kcp	car	opm	dbx	pme	pku	bin	mbi	mgu	dha	pic	spa	wan	cut	hva	kla	lth	zro	sce	vpo
FOG00001	HOG00001		rgm|A0A194SC11	sai|UPI00086798E2	spo|O14363;spo|O74836	ncr|Q7RZS0	tre|G0R7Q5	ang|A2QQW2	lst|A0A1E3Q510	yli|Q6C3V2	arx|A0A060TD27	nfu|A0A1E3PPJ4	aru|A0A1D2VNY1	pta|A0A1E4TYH0	ppa|C4QWC5	kcp|W6MGD5	car|A0A1E4SYI3	opm|W1Q7V5	dbx|Dekbr2_7491	pme|A0A1E3NRM5	pku|A0A099NYY7	bin|A0A1E3QK01	mbi|A0A1A0HD93	mgu|A5DR84	dha|Q6BVA9	pic|A3LTA4	spa|G3AU96	wan|A0A1E3NZF3	cut|A0A1E4S165	hva|A0A1B7TC03	kla|Q6CWR9	lth|C5E2B7	zro|C5E4M7	sce|P0CX43;sce|P0CX44	vpo|A7TE69
FOG00002	HOG00002		rgm|A0A194SCZ7	sai|UPI0008674AFF	spo|P0CT70;spo|P0CT71;spo|P0CT72	ncr|Q7RVQ9	tre|G0R7R1	ang|E2PSW4	lst|A0A1E3PUU0	yli|Q6C0H1	arx|A0A060T542	nfu|A0A1E3PEU7;nfu|A0A1E3PR86	aru|A0A1D2VAZ5	pta|A0A1E4U2T5	ppa|C4QWG6	kcp|W6MPR0	car|A0A1E4T280;car|A0A1E4T663	opm|W1QIA9	dbx|Dekbr2_112763;dbx|Dekbr2_40088	pme|A0A1E3NPR5	pku|A0A099NW72;pku|A0A099P1G6	bin|A0A1E3QL21	mbi|A0A1A0H5T3	mgu|mgu_AYbRAH_00027	dha|Q6BS28	pic|A3GFN6	spa|G3AGC5;spa|G3AQM2	wan|A0A1E3P8I3	cut|A0A1E4RW61		kla|Q6CQM3	lth|C5DHJ2	zro|C5DWK9	sce|P0CX45;sce|P0CX46	vpo|A7TQR3
FOG00003	HOG00003		rgm|A0A0P9ENJ3	sai|UPI000866EE0C	spo|P36584;spo|P40372	ncr|P59671	tre|G0R7F2	ang|A2QCL1	lst|A0A1E3Q9K5	yli|Q6CB65	arx|A0A060TDX1	nfu|A0A1E3PU47	aru|A0A1D2VIK3	pta|A0A1E4TVN0	ppa|C4R6Z0	kcp|W6MK41	car|A0A1E4T482	opm|W1QIR3	dbx|Dekbr2_18861	pme|A0A1E3NMB6	pku|A0A099NWB6	bin|A0A1E3QTZ8	mbi|A0A1A0HIH2	mgu|A5DGY8	dha|Q6BXM5	pic|A3LU50	spa|G3AMD9	wan|A0A1E3PAT4	cut|A0A1E4S9P4	hva|A0A1B7TD75	kla|Q6CJR7	lth|C5DJM1	zro|C5DSD9	sce|P14126	vpo|A7TDR9
FOG00004	HOG00004		rgm|A0A0P9EE12	sai|UPI000618E272	spo|P35679;spo|Q9P784	ncr|Q1K7B7	tre|G0R761	ang|A2QUC7	lst|A0A1E3Q028	yli|Q6CCT0	arx|A0A060T1U7	nfu|A0A1E3PCF2;nfu|A0A1E3PH16	aru|A0A1D2VPU3	pta|A0A1E4TQD2	ppa|C4QV16	kcp|W6MQX9	car|A0A1E4T3P6	opm|W1QDR2	dbx|Dekbr2_64468	pme|A0A1E3NIY0	pku|A0A099P849	bin|A0A1E3QTB1	mbi|A0A1A0HGL3	mgu|A5DGZ4	dha|Q6BXQ0	pic|A3GGS9	spa|G3AP74	wan|A0A1E3NY52	cut|A0A1E4S124	hva|A0A1B7TK54	kla|Q6CW41	lth|C5DIW4	zro|C5DPJ3	sce|P10664;sce|P49626	vpo|A7TN49
FOG00005	HOG00005		rgm|A0A0P9EUN9	sai|UPI000867DFA2	spo|O74306;spo|P52822	ncr|O59953	tre|G0RSJ8	ang|A2QRE4	lst|A0A1E3Q943	yli|Q6C4Z8	arx|A0A060TBQ4	nfu|A0A1E3PEK8;nfu|A0A1E3PUE4	aru|A0A1D2VG56	pta|A0A1E4TNE3	ppa|C4QWU8	kcp|W6MRZ6	car|A0A1E4T2W5	opm|W1QKT6	dbx|Dekbr2_45274	pme|A0A1E3NQ97	pku|A0A099NWE2	bin|A0A1E3QSL0	mbi|A0A1A0HAC1	mgu|A5DLB6	dha|Q6BGU2	pic|A3LPI4	spa|G3AVX3	wan|A0A1E3PA46	cut|A0A1E4S649	hva|A0A1B7THG3	kla|Q6CRR9	lth|C5DEW6	zro|C5DXN6	sce|P26321	vpo|A7TKQ5
FOG00006	HOG00006		rgm|A0A0N8PZH8	sai|UPI0008670F0A	spo|P79071	ncr|Q7SH22	tre|G0RCI7	ang|A2QQR3	lst|A0A1E3PYK7	yli|Q6C4C8	arx|A0A060TG34	nfu|A0A1E3PK79;nfu|A0A1E3PQ10	aru|A0A1D2VPQ6	pta|A0A1E4TUW6;pta|A0A1E4U234	ppa|C4R2G4;ppa|C4R6Y3	kcp|W6MKM0;kcp|W6MKT5	car|A0A1E4T3Z0;car|A0A1E4T8U7	opm|W1QJR0;opm|W1QL92	dbx|Dekbr2_63284;dbx|Dekbr2_6651	pme|A0A1E3NJE6;pme|A0A1E3NP55	pku|A0A099NQK0;pku|A0A099P2Y9	bin|A0A1E3QPA3;bin|A0A1E3QR62	mbi|A0A1A0HDG6	mgu|mgu_AYbRAH_00173	dha|Q6BSE6	pic|A3LX65	spa|G3AEK1	wan|A0A1E3P572;wan|A0A1E3PB28	cut|A0A1E4RXK0;cut|A0A1E4S5R3	hva|A0A1B7TBY0	kla|Q6CWE7	lth|C5DFP1	zro|C5DS82	sce|P05739;sce|Q02326	vpo|A7TMB0;vpo|A7TNP2
FOG00007	HOG00007		rgm|A0A0P9ESX8	sai|UPI0008678CCA	spo|O60143;spo|P25457	ncr|Q7SBD5	tre|G0RJV2	ang|A2R2K0	lst|A0A1E3Q9G9	yli|Q6C603	arx|A0A060T863	nfu|A0A1E3PEE2;nfu|A0A1E3PK23	aru|A0A1D2V8B2	pta|A0A1E4U139	ppa|C4QZE7	kcp|W6MR97	car|A0A1E4SZQ4	opm|W1QL84	dbx|Dekbr2_128113	pme|A0A1E3NNC6	pku|A0A099P5X6	bin|A0A1E3QYW8	mbi|A0A1A0HAE3		dha|Q6BTA4	pic|A3GFU4	spa|G3AGI6	wan|A0A1E3P6Q8	cut|A0A1E4RYJ3	hva|A0A1B7TAT6	kla|Q6CS71	lth|C5E2F0	zro|C5E004	sce|P05737;sce|Q12213	vpo|A7TJ38
FOG00008	HOG00007	paralog:FOG00007									arx|A0A060T8E7	nfu|A0A1E3PLY9	aru|A0A1D2VR07	pta|A0A1E4TQV4	ppa|C4R3C9	kcp|W6MQV2	car|A0A1E4SVU2	opm|W1QKL6		pme|A0A1E3NST5	pku|A0A099NVA8	bin|A0A1E3QMP2	mbi|A0A1A0H922	mgu|A5DNE2	dha|Q6BIF5	pic|A3LXY8	spa|G3AK06	wan|A0A1E3P6D0	cut|A0A1E4RYC7	hva|A0A1B7TK20	kla|P32102	lth|C5E3C3	zro|C5E4C0	sce|P40693	vpo|A7TQV4
FOG00009	HOG00007	paralog:FOG00007			spo|P17937																														
FOG00010	HOG00008		rgm|A0A0P9EG93	sai|UPI000866880D	spo|O13672	ncr|Q7S630	tre|G0RWG3	ang|A2QSE9	lst|A0A1E3QF35	yli|Q6C0H3	arx|A0A060SZS4	nfu|A0A1E3PD30;nfu|A0A1E3PT00	aru|A0A1D2VG24	pta|A0A1E4TMT0;pta|A0A1E4TSX5	ppa|C4QWG3	kcp|W6MTW3;kcp|W6MWW7	car|A0A1E4T278;car|A0A1E4T654	opm|W1QIF1;opm|W1QKZ4	dbx|Dekbr2_23894;dbx|Dekbr2_35652	pme|A0A1E3NKJ7;pme|A0A1E3NPN7	pku|A0A099NXX4;pku|A0A099P1G8	bin|A0A1E3QLQ0;bin|A0A1E3QPH7	mbi|A0A1A0H5M7;mbi|A0A1A0HC96	mgu|A5DG11;mgu|A5DGD2	dha|Q6BS31;dha|Q6BW10	pic|A3GFN9;pic|A3GHF0	spa|G3AGC8;spa|G3AQM5	wan|A0A1E3P4D3;wan|A0A1E3P8H6	cut|A0A1E4RW28;cut|A0A1E4S2H6	hva|A0A1B7TBB7	kla|B4UN96	lth|C5DHM8	zro|C5DZW1	sce|P17076;sce|P29453	vpo|A7TNK3;vpo|A7TSN7
