FOG	HOG	Protein ID	sce Locus	Features	Protein description	Parent	Neofunc, Subfunct	References	Source	Suggested Analysis	SGD Description	PomBase Description	AspGD Description
FOG00001	HOG00001	RPL1	RPL1A;RPL1B		RPL1 Large ribosome protein subunit						Ribosomal 60S subunit protein L1A; N-terminally acetylated; homologous to mammalian ribosomal protein L10A and bacterial L1; RPL1A has a paralog, RPL1B, that arose from the whole genome duplication; rpl1a rpl1b double null mutation is lethal|Ribosomal 60S subunit protein L1B; N-terminally acetylated; homologous to mammalian ribosomal protein L10A and bacterial L1; RPL1B has a paralog, RPL1A, that arose from the whole genome duplication; rpl1a rpl1b double null mutation is lethal	60S ribosomal protein L10a	Ortholog(s) have cytosolic large ribosomal subunit, preribosome, large subunit precursor localization
FOG00002	HOG00002	RPL2	RPL2A;RPL2B		RPL2 Large ribosome protein subunit						Ribosomal 60S subunit protein L2A; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2A has a paralog, RPL2B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L2B; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2B has a paralog, RPL2A, that arose from the whole genome duplication; expression is upregulated at low temperatures	60S ribosomal protein L8 (predicted)	Ortholog(s) have structural constituent of ribosome activity, role in cytoplasmic translation and cytosolic large ribosomal subunit, nucleus, preribosome, large subunit precursor localization
FOG00003	HOG00003	RPL3	RPL3		RPL3 Large ribosome protein subunit						Ribosomal 60S subunit protein L3; homologous to mammalian ribosomal protein L3 and bacterial L3; plays an important role in function of eIF5B in stimulating 3' end processing of 18S rRNA in context of 80S ribosomes that have not yet engaged in translation; involved in replication and maintenance of killer double stranded RNA virus	60S ribosomal protein L3	Ortholog(s) have role in ribosomal large subunit assembly and cell surface, cytosolic large ribosomal subunit, preribosome, large subunit precursor, small-subunit processome localization
FOG00004	HOG00004	RPL4	RPL4A;RPL4B		RPL4 Large ribosome protein subunit						Ribosomal 60S subunit protein L4A; N-terminally acetylated; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4A has a paralog, RPL4B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L4B; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4B has a paralog, RPL4A, that arose from the whole genome duplication	60S ribosomal protein L4 (predicted)	Ortholog(s) have cytosol localization
FOG00005	HOG00005	RPL5	RPL5		RPL5 Large ribosome protein subunit						Ribosomal 60S subunit protein L5; homologous to mammalian ribosomal protein L5 and bacterial L18; binds 5S rRNA and is required for 60S subunit assembly	60S ribosomal protein L5|60S ribosomal protein L5 (predicted)	Ortholog(s) have 5S rRNA binding, structural constituent of ribosome activity, role in ribosomal large subunit assembly and cytosolic large ribosomal subunit localization
FOG00006	HOG00006	RPL6	RPL6A;RPL6B		RPL6 Large ribosome protein subunit						Ribosomal 60S subunit protein L6A; N-terminally acetylated; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6, no bacterial homolog; RPL6A has a paralog, RPL6B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L6B; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6, no bacterial homolog; RPL6B has a paralog, RPL6A, that arose from the whole genome duplication	60S ribosomal protein L6 (predicted)	Ortholog(s) have RNA binding, structural constituent of ribosome activity
FOG00007	HOG00007	RPL7	RPL7A;RPL7B		RPL7 Large ribosome protein subunit						Ribosomal 60S subunit protein L7A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7A has a paralog, RPL7B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L7B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7B has a paralog, RPL7A, that arose from the whole genome duplication	60S ribosomal protein L7	Ortholog(s) have structural constituent of ribosome activity, role in cytoplasmic translation, maturation of LSU-rRNA and cell surface, cytosolic large ribosomal subunit, nucleolus, preribosome, large subunit precursor localization
FOG00008	HOG00007	RLP7	RLP7		Nucleolar protein similar to large ribosomal subunit L7 proteins	paralog:FOG00007	Neofunctionalization?				Nucleolar protein similar to large ribosomal subunit L7 proteins; constituent of 66S pre-ribosomal particles; plays an essential role in processing of precursors to the large ribosomal subunit RNAs; binds junction of ITS2 and ITS2-proximal stem between the 3' end of 5.8S rRNA and the 5' end of 25S rRNA		
FOG00009	HOG00007				Protein similar to RPL7	paralog:FOG00007	Uncharacterized					ribosomal protein L7-like Rlp7 involved in ribosome biogenesis (predicted)	
FOG00010	HOG00008	RPL8	RPL8A;RPL8B		RPL8 Large ribosome protein subunit						Ribosomal 60S subunit protein L8A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8A has a paralog, RPL8B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L8B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8B has a paralog, RPL8A, that arose from the whole genome duplication	60S ribosomal protein L7a/L8 (predicted)	Ortholog(s) have role in maturation of LSU-rRNA and cytosolic large ribosomal subunit localization
FOG00011	HOG00009	RPL9	RPL9A;RPL9B		RPL9 Large ribosome protein subunit						Ribosomal 60S subunit protein L9A; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9A has a paralog, RPL9B, that arose from a single-locus duplication|Ribosomal 60S subunit protein L9B; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9B has a paralog, RPL9A, that arose from a single-locus duplication	60S ribosomal protein L9	Ortholog(s) have structural constituent of ribosome activity, role in cytoplasmic translation and cytosolic large ribosomal subunit, nucleus localization
FOG00012	HOG00010	RPL10	RPL10		RPL10 Large ribosome protein subunit						Ribosomal 60S subunit protein L10; responsible for joining the 40S and 60S subunits; regulates translation initiation; similar to members of the QM gene family; homologous to mammalian ribosomal protein L10 and bacterial L16; protein abundance increases in response to DNA replication stress; mutations in the human ortholog are associated with development of T-cell acute lymphoblastic leukemia and similar changes in the yeast gene result in ribosome biogenesis defects	60S ribosomal protein L10	Ortholog(s) have role in ribosomal large subunit assembly, translational termination and cell surface, cytosolic large ribosomal subunit localization
FOG00013	HOG00011	RPL11	RPL11A;RPL11B		RPL11 Large ribosome protein subunit						Ribosomal 60S subunit protein L11A; expressed at twice the level of Rpl11Bp; involved in ribosomal assembly; depletion causes degradation of 60S proteins and RNA; homologous to mammalian ribosomal protein L11 and bacterial L5; RPL11A has a paralog, RPL11B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L11B; expressed at half the level of Rpl11Ap; involved in ribosomal assembly; depletion causes degradation of 60S proteins and RNA; homologous to mammalian ribosomal protein L11 and bacterial L5; RPL11B has a paralog, RPL11A, that arose from the whole genome duplication	60S ribosomal protein L11 (predicted)	Ortholog(s) have role in ribosomal large subunit assembly and cytosolic large ribosomal subunit localization
FOG00014	HOG00012	RPL12	RPL12A;RPL12B		RPL12 Large ribosome protein subunit						Ribosomal 60S subunit protein L12A; rpl12a rpl12b double mutant exhibits slow growth and slow translation; homologous to mammalian ribosomal protein L12 and bacterial L11; RPL12A has a paralog, RPL12B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L12B; rpl12a rpl12b double mutant exhibits slow growth and slow translation; homologous to mammalian ribosomal protein L12 and bacterial L11; RPL12B has a paralog, RPL12A, that arose from the whole genome duplication	60S ribosomal protein L12.1/L12A	Ortholog(s) have role in ribosomal large subunit assembly and cytosolic large ribosomal subunit, nucleolus, preribosome, large subunit precursor localization
FOG00015	HOG00012				Uncharacterized ohnolog of RPL12	ohnolog?:FOG00014	Uncharacterized		added via ODB8				
FOG00016	HOG00013	RPL13	RPL13A;RPL13B		RPL13 Large ribosome protein subunit						Ribosomal 60S subunit protein L13A; not essential for viability; homologous to mammalian ribosomal protein L13, no bacterial homolog; RPL13A has a paralog, RPL13B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L13B; not essential for viability; homologous to mammalian ribosomal protein L13, no bacterial homolog; RPL13B has a paralog, RPL13A, that arose from the whole genome duplication	60S ribosomal protein L13 (predicted)	Ortholog(s) have cell surface, cytosolic large ribosomal subunit localization
